商品名,カテゴリ,色,スパーク,ボディ,メーカー,産地,地名,容量,価格,小売価格,コメント,味わい,画像
澤の花 純米大吟醸 打上げ花火,日本酒,,,,伴野酒造㈱,長野県,佐久市,720,1800,1980 ,上品な甘さ、軽い旨味と酸味が絡み、とても軽いタッチの味わいです。,夏季限定爽快辛口,
信州亀齢　純米大吟醸　　　　　　ヘキサゴン,日本酒,,,,岡崎酒造,長野県,上田市,720,7500,8250 ,ラベルは高級感溢れる和紙を使用。手書きのナンバリングが施されています。,濃厚な旨口酒,信州亀齢ヘキサゴン.jpg
RYUSUISEN　生?純米大吟醸　ひとごこち,日本酒,,,,㈱市野屋,長野県,大町市,720,2254,2479 ,マスカットやライチのような果実香、花の蜜の香り、杉のさわやかな香り。,至福の一杯,
今錦　純米吟醸　美山錦　       生原酒,日本酒,,,,米澤酒造㈱,長野県,伊那市,720,1800,1980 ,華やかな吟醸香と芳醇な味わいです。,ワイングラスでも◎,
RYUSUISEN　生もと　　　　　　　純米大吟醸　美山錦,日本酒,,,,㈱市野屋,長野県,大町市,720,2480,2728 ,生もと造りで、美山錦を使用した芳醇な純米大吟醸。,,
RYUSUISEN　山廃純米大吟醸　山恵錦,日本酒,,,,㈱市野屋,長野県,大町市,720,2480,2728 ,山恵錦を使い、山廃仕込みで醸したコクのある大吟醸酒。,,
RYUSUISEN　うすにごり生原酒　桜霞,日本酒,,,,㈱市野屋,長野県,大町市,720,2200,2420 ,果実の様な香りで飲み口ほんのり甘く、シャープな斬れ味が特徴。,辛口食中酒,
RYUSUISEN 山廃純米大吟醸 　　金紋錦,日本酒,,,,㈱市野屋,長野県,大町市,720,4500,4950 ,シルクのような滑らかな口あたりと、上質な甘味と旨味が魅力です。,ほんのり甘口,
岩波　純米　ＰＢ　以酒養真　７２０,日本酒,,,,岩波酒造,長野県,松本市,720,1350,1485 ,冷やはもちろん、燗にしても美味いしっかりとした味。,冷からお燗まで◎,
茜さす　純米大吟醸　,日本酒,,,,土屋酒造,長野県,佐久市,720,3000,3300 ,絹のようなきめの細かい舌触りと上品な旨味。,五郎兵衛新田産,
茜さす　スパークリング・ドライ　３７５,日本酒,,,,㈱土屋酒造店,長野県,佐久市,720,980,1078 ,すっきりキレ味、酸味が印象的な辛口ドライ。,食前～食中酒に最高！,
浅間嶽　純米吟醸　,日本酒,,,,大塚酒造（株）,長野県,小諸市,720,1790,1969 ,ミルキーな香りが穏やかに香り、やや辛口のやわらかな味わいが広がる,やや辛口,
今錦　純米大吟醸　美山錦　７２０,日本酒,,,,米澤酒造㈱,長野県,上伊那郡,720,2660,2926 ,やわらかな香りとバランスの取れた味わい,Kura Masterプラチナ賞,
今錦　特別純米　　　　　　　中川村のたま子　,日本酒,,,,米澤酒造㈱,長野県,上伊那郡,720,1600,1760 ,やや辛口で、すっきりとしたキレの増した口当たりです。,冷からぬる燗がオススメ,
今錦　純米吟醸　金紋錦　７２０（火入れ）,日本酒,,,,米澤酒造㈱,長野県,上伊那郡,720,2000,2200 ,芳醇な甘旨味で、まろやか且つボリューミー。,デリケートな梨様の香り,
今錦　特別純米　　　　　　　中川村のたま子　生原酒,日本酒,,,,米澤酒造㈱,長野県,伊那市,720,1700,1870 ,さっぱり透明感を感じさせ、メロンのような華やかな甘みを感じます。,すっきり甘口酒,
川中島　特別純米酒　７２０,日本酒,,,,㈱酒千蔵野,長野県,長野市,720,1700,1870 ,いつまでも楽しめる飽きの来ない辛口酒。,食中酒にオススメ！,kawanakajima_TJ_720_300
川中島　純米にごり酒　７２０,日本酒,,,,㈱酒千蔵野,長野県,長野市,720,1700,1870 ,飲み口がトロリとしていて、旨み、酸味を堪能できる。,疲れを癒したい時に◎,
黒澤　生もと純米酒　７２０,日本酒,,,,黒澤酒造㈱,長野県,佐久穂町,720,1436,1580 ,“甘酸辛苦渋”酒の五味のバランスが良い。,ぬる燗で楽しむ旨口酒,黒澤生もと純米酒720.jpg
浅間嶽　純米酒,日本酒,,,,大塚酒造㈱,長野県,小諸市,720,1481,1629 ,やや辛口タイプ！炊きたての米の香りに、硬水の軽い苦味がアクセント,やや辛口タイプ,
黒澤　純米　無濾過生原酒　720,日本酒,,,,黒澤酒造㈱,長野県,佐久穂町,720,1554,1709 ,骨太さと口あたりの柔らかさ。心地よい酸と深みのある味わい,五味の調和で心躍る,
RYUSUISEN　無濾過生原酒,日本酒,,,,㈱市野屋,長野県,大町市,720,1400,1540 ,青リンゴやメロンの果実香、ヨーグルトのようなナチュラルで穏やかな香り,フルーティーな新酒,
RYUSUISEN　花火,日本酒,,,,㈱市野屋,長野県,大町市,720,2000,2200 ,雄町の旨みとコク、後味は夏らしくキレのあるお酒に仕上がりました。,数量限定販売,
RYUSUISEN　生?　美山錦,日本酒,,,,㈱市野屋,長野県,大町市,720,2100,2310 ,生?仕込みの芯のある旨みと、素直で伸びやかな味わいが重なります。,フルーティーな甘口,
亀の海　純米大吟醸　金紋錦　 premium cuvee,日本酒,,,,土屋酒造,長野県,佐久市,720,6000,6600 ,優良な酒米で仕込まれる限定品。エレガントな香味とリッチな味わい。,精米歩合３９％,
亀の海　細雪（ささめゆき）　　　純米吟醸直汲無濾過生,日本酒,,,,土屋酒造,長野県,佐久市,720,1800,1980 ,新酒らしいフレッシュ感とややピりりとした微発泡のニュアンス。,フレッシュ感を重視,
亀の海　蝉しぐれ　純米吟醸生,日本酒,,,,土屋酒造,長野県,佐久市,720,1800,1980 ,マスカットを連想させる甘酸っぱい爽やかな果実様の味わい。,フルーティー,
亀の海　春うらら純米吟醸　　槽口生,日本酒,,,,㈱土屋酒造店,長野県,佐久市,720,1800,1980 ,リンゴの様なフルーティな香り、     米の旨味優しい甘み綺麗な酸。,ほんのり甘口,
信濃鶴　純米吟醸55　玩卓,日本酒,,,,長生社,長野県,駒ヶ根市,720,1490,1639 ,ほんのり甘めの印象で透明感あるスッキリとした味わい。,ほんのり甘口,
RYUSUISEN　nova 美山錦,日本酒,,,,市野屋,長野県,大町市,720,2000,2200 ,柑橘系やパイナップルなどの華やかな果実香。料理とも相性抜群,クリームパスタ,
RYUSUISEN　nova 金紋錦,日本酒,,,,市野屋,長野県,大町市,720,2000,2200 ,酸味フレッシュでフルーティ　　　　　　　　　　　　　　　　　　余韻に苦み,洋食◎,
RYUSUISEN　nova 山田錦,日本酒,,,,市野屋,長野県,大町市,720,2200,2420 ,和食から洋食、フルーツまで幅広い料理とマリアージュが楽しめます。,サクイソ系,
RYUSUISEN 無濾過生原酒　　　　　　美山錦　雪華sekka,日本酒,,,,（株）市野屋,長野県,大町,720,1800,1980 ,和洋中問わずに食事に合う　　　　　　　　　マリアージュ酒,無濾過生原酒,
RYUSUISEN　　　　　　　　黒部氷筍×ひとごこち無濾過生,日本酒,,,,㈱市野屋,長野県,大町市,720,2000,2200 ,ジューシーな甘みが口中に広がり続いてキレのあるシャープな酸！,季節限定酒,
大雪渓　純米吟醸　７２０ｍｌ,日本酒,,,,大雪渓酒造㈱,長野県,池田町,720,1672,1839 ,米本来の優しい香りと味わい深い旨味を楽しめる。,地元の人に愛される酒,
大信州　超辛口純米吟醸,日本酒,,,,大信州,長野県,松本市,720,1700,1870 ,すっきり辛口旨味しっかり、香りふっくら。,大信州一番人気の定番！,
大信州　純米吟醸　手の内　生詰　７２０,日本酒,,,,大信州酒造㈱,長野県,松本市,720,1800,1980 ,洗練された美しい旨み。圧倒的なフレッシュ感！,しっかり冷やすと◎,
大信州　夏のさらさら純米吟醸,日本酒,,,,大信州酒造㈱,長野県,松本市,720,1800,1980 ,スッキリとしたのど越しとさらっとした軽快な純米吟醸！,スッキリ辛口,
大信州　純米吟醸　花宙　　　　　（はなそら）,日本酒,,,,大信州酒造㈱,長野県,松本市,720,2500,2750 ,長野県を代表する画家 越ちひろさんの創作活動とのコラボレーション。,まるで果実のよう,
大信州　純米吟醸　花宙　　　　　（はなそら）2024,日本酒,,,,大信州酒造㈱,長野県,松本市,720,2500,2750 ,長野県を代表する画家 越ちひろさんの創作活動とのコラボレーション。,数量限定販売,
◆清酒　ｎａｒａｉ（ナライ）　720　「杉の森酒造」,日本酒,,,,杉の森酒造㈱,長野県,塩尻市,720,5000,5500 ,爽やかな酸味と甘味。飲みやすさの中に旨さあり。,全て手作業で造られる酒,
岩波　純米大吟醸　720,日本酒,,,,岩波酒造,長野県,松本市,720,4000,4400 ,低温発酵させることで芳醇でまろやかな良酒。,ギフトにも最適！,
七笑　大吟醸　銀華　７２０,日本酒,,,,七笑酒造,長野県,木曽町,720,2800,3080 ,繊細で凛とした静けさを感じる涼やかな味わい,長野県産にこだわった酒,
Ｔｅ　ｔｏ　Ｔｅ（てとて）　純米　火入れ,日本酒,,,,浪乃音酒造㈱,滋賀県,,720,1218,1340 ,どんな料理とも相性が良く、食中酒として最高のパートナー！,さまざまな温度帯OK,
Ｔｅ　ｔｏ　Ｔｅ（てとて）　純米吟醸　玉栄　火入れ,日本酒,,,,浪乃音酒造㈱,滋賀県,,720,1600,1760 ,柔らかい吟醸香と優しい甘さ、後口はスッキリした純米吟醸酒。,お食事のお供にどうぞ,
◆清酒　narai sankei（ナライ）　720　「杉の森酒造」,日本酒,,,,杉の森酒造㈱,長野県,塩尻市,720,5000,5500 ,和梨のような少し甘さを伴ったフルーツ香。,和食・和菓子にも合う,narai sankei.jpg
◆清酒　narai kinmon（ナライ）　720　「杉の森酒造」,日本酒,,,,杉の森酒造㈱,長野県,塩尻市,720,5000,5500 ,さとうきびの甘さとスイートバジルのハーブ香を伴う香り。,和食・洋食に相性◎,narai kinmon.jpg
高波　純米吟醸　Frozen,日本酒,,,,丸永酒造,長野県,塩尻市,720,3080,3388 ,冷やして楽しむことを推奨される酒。,,
naraiβナライベータno.１,日本酒,,,,杉の森酒造㈱,長野県,塩尻市,720,3000,3300 ,果実味のある上品な香り。,チャレンジ企画品,
naraiβナライベータno.2,日本酒,,,,杉の森酒造㈱,長野県,塩尻市,720,3000,3300 ,メロンのような甘い香り。後半に広がる芳醇さがあり。,チャレンジ企画品,
narai βナライベータNo.3,日本酒,,,,杉の森酒造㈱,長野県,塩尻市,720,3000,3300 ,上品な微発泡感が広がり、口当たりに軽やかな個性を添える。,全て手作業で造られる酒,
narai βナライベータNo.4,日本酒,,,,杉の森酒造㈱,長野県,塩尻市,720,3000,3300 ,みずみずしい甘味が広がり、暑い季節にこそ、その魅力が際立つ。,全て手作業で造られる酒,
narai　passege,日本酒,,,,杉の森酒造㈱,長野県,奈良井宿,720,2700,2970 ,フレッシュ滑らか透明感のある果実と甘みがやさしい。低アルコール,生酒,
narai passage green,日本酒,,,,杉の森酒造㈱,長野県,塩尻市,720,2700,2970 ,透明感とみずみずしさが重なる、　　　　　　　　　　夏の味わい,手作業,
本金　　　　　　　　　         　純米吟醸　諏訪　　　　　,日本酒,,,,酒ぬのや本金酒造㈱,長野県,諏訪市,720,1800,1980 ,爽やかな柑橘系の　　　　　　　　　　　　　　　　　　　　　　　　ジューシーな香味。,全部諏訪産,
本金　美青　　　　　　　　　　　　　　　　うすにごり　純米吟醸,日本酒,,,,酒ぬのや本金酒造㈱,長野県,諏訪市,720,2000,2200 ,爽快で軽やか、はつらつとした　　　　　　　　酸が特徴です。,すっきり甘口酒,
本金　純米吟醸　諏訪　　　　　無濾過生原酒,日本酒,,,,酒ぬのや本金酒造㈱,長野県,諏訪市,720,1800,1980 ,爽やかな柑橘系のジューシーな香味。,全部諏訪産,
本金　美青　　　　　　　　　　　　活性にごり　純米吟醸,日本酒,,,,酒ぬのや本金酒造㈱,長野県,諏訪市,720,2300,2530 ,ラフランス思わせる芳醇な香り繊細な酸とシュワシュワとした泡が調和,やや甘口,
【限】新・北安大国　純米　無濾過生原酒　720,日本酒,,,,北安醸造㈱,長野県,大町市,720,1400,1540 ,しぼりたての新酒。フレッシュかつ力強い味わいです。,コクのあるお料理に◎,
北光正宗　純米酒　７２０,日本酒,,,,北光正宗,長野県,飯山市,720,1872,2059 ,穏やかな香りと辛口でキレの良い、サッパリとした味わい。,冷からお燗まで◎,
